Route,Type,Time
3,Send,11/8/22 2:19 PM
38,Send,11/8/22 2:46 PM
3,Send,11/7/22 2:21 PM
38,Send,11/7/22 2:22 PM
38,Send,11/7/22 2:25 PM
35,Send,11/7/22 3:02 PM
13,Send,11/9/22 1:17 PM
23,Send,11/9/22 1:34 PM
3,Send,11/9/22 2:58 PM
38,Send,11/9/22 3:00 PM
32,Send,11/9/22 4:35 PM
23,Send,9/29/22 2:13 PM
3,Send,9/29/22 2:58 PM
13,Send,9/29/22 3:02 PM
35,Send,9/29/22 3:08 PM
32,Send,9/29/22 3:43 PM
38,Send,9/29/22 2:18 PM
23,Send,1/31/22 3:54 PM
3,Send,1/31/22 1:26 PM
13,Send,1/31/22 2:04 PM
35,Send,1/31/22 4:00 PM
32,Send,1/31/22 4:40 PM
38,Send,1/31/22 4:46 PM
32,Send,4/19/22 4:42 PM
23,Send,4/19/22 5:25 PM
38,Send,4/19/22 5:25 PM
35,Send,4/19/22 11:45 AM
35,Send,4/20/22 12:01 PM
13,Send,4/20/22 1:40 PM
38,Send,4/20/22 12:29 PM
3,Send,4/20/22 2:44 PM
32,Send,4/20/22 3:14 PM
23,Send,4/20/22 5:18 PM
38,Send,4/21/22 1:48 PM
35,Send,4/21/22 12:25 PM
23,Send,1/10/22 2:03 PM
3,Send,1/10/22 1:04 PM
13,Send,1/10/22 1:18 PM
13,Send,1/10/22 1:18 PM
3,Send,5/2/22 1:36 PM
35,Send,5/2/22 4:17 PM
32,Send,5/2/22 4:22 PM
13,Send,5/2/22 2:05 PM
13,Send,5/2/22 2:06 PM
38,Send,5/2/22 2:52 PM
32,Send,5/2/22 3:58 PM
32,Send,5/2/22 4:01 PM
23,Send,5/2/22 5:55 PM
35,Send,5/3/22 8:00 AM
38,Send,1/3/22 4:42 PM
23,Send,1/4/22 1:50 PM
3,Send,1/4/22 1:52 PM
32,Send,1/4/22 3:22 PM
35,Send,1/4/22 3:50 PM
35,Send,1/4/22 3:54 PM
13,Send,1/4/22 1:15 PM
38,Send,1/4/22 5:30 PM
