Route,Type,Time
52,Send,9/29/22 11:17 AM
8010,Send,9/29/22 12:32 PM
50,Send,9/29/22 1:07 PM
50,Send,9/29/22 1:13 PM
52,Send,10/6/22 11:08 AM
50,Send,10/6/22 1:05 PM
8040,Send,10/6/22 2:07 PM
8060,Send,10/6/22 2:16 PM
51,Send,10/6/22 1:40 PM
6,Send,10/6/22 2:27 PM
47,Send,10/6/22 2:29 PM
56,Send,10/6/22 2:47 PM
56,Send,10/6/22 2:54 PM
8010,Send,10/6/22 12:21 PM
12,Send,10/6/22 3:34 PM
51,Send,10/7/22 10:37 AM
50,Send,10/5/22 11:29 AM
12,Send,10/5/22 3:25 PM
6,Send,10/5/22 3:36 PM
52,Send,10/5/22 1:12 PM
51,Send,10/5/22 1:35 PM
56,Send,10/5/22 2:12 PM
52,Send,10/6/22 11:08 AM
8040,Send,11/15/22 12:45 PM
51,Send,11/15/22 12:47 PM
12,Send,11/15/22 2:50 PM
6,Send,11/15/22 2:53 PM
8010,Send,11/15/22 1:38 PM
52,Send,11/15/22 12:11 PM
50,Send,11/15/22 12:30 PM
50,Send,11/15/22 12:30 PM
8060,Send,11/15/22 2:13 PM
47,Send,11/15/22 3:33 PM
50,Send,11/16/22 5:45 AM
56,Send,11/15/22 4:03 PM
56,Send,11/15/22 4:47 PM
50,Send,11/7/22 5:53 AM
56,Send,11/7/22 7:17 AM
51,Send,11/7/22 1:54 PM
50,Send,11/7/22 6:25 AM
50,Send,11/7/22 11:54 AM
56,Send,11/7/22 3:30 PM
50,Send,11/8/22 6:03 AM
8010,Send,11/8/22 1:14 PM
8040,Send,11/8/22 1:36 PM
12,Send,11/8/22 2:20 PM
12,Send,11/7/22 2:35 PM
8040,Send,11/7/22 2:41 PM
47,Send,11/7/22 2:46 PM
8040,Send,11/9/22 1:11 PM
8010,Send,11/9/22 1:13 PM
6,Send,11/9/22 3:54 PM
6,Send,11/9/22 3:54 PM
47,Send,11/9/22 3:57 PM
50,Send,11/9/22 12:38 PM
52,Send,11/9/22 12:40 PM
51,Send,11/9/22 12:42 PM
56,Send,11/9/22 5:23 PM
12,Send,11/9/22 5:03 PM
50,Send,11/10/22 6:15 AM
52,Send,11/10/22 12:00 PM
8010,Send,11/10/22 12:29 PM
56,Send,11/10/22 1:33 PM
8010,Send,9/29/22 12:23 PM
8060,Send,9/29/22 2:03 PM
12,Send,9/29/22 2:28 PM
47,Send,9/29/22 2:42 PM
6,Send,9/29/22 2:45 PM
56,Send,9/29/22 3:18 PM
8040,Send,9/29/22 3:38 PM
51,Send,9/29/22 4:22 PM
51,Send,9/30/22 10:26 AM
8040,Send,9/30/22 12:12 PM
50,Send,9/30/22 1:33 PM
52,Send,9/30/22 11:45 AM
12,Send,9/30/22 12:05 PM
6,Send,9/30/22 1:10 PM
8010,Send,9/30/22 1:10 PM
56,Send,9/30/22 3:16 PM
47,Send,9/30/22 2:05 PM
52,Send,10/3/22 12:50 PM
51,Send,10/3/22 12:55 PM
8010,Send,10/3/22 1:15 PM
6,Send,10/3/22 2:36 PM
56,Send,10/12/22 2:12 PM
52,Send,10/13/22 11:42 AM
52,Send,10/13/22 11:54 AM
52,Send,10/13/22 11:55 AM
8040,Send,10/13/22 1:14 PM
